filepath,language,label,explanation,source
secure/026.javascript,javascript,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/027.javascript,javascript,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/028.javascript,javascript,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/029.javascript,javascript,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/030.javascript,javascript,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
vulnerable/031.typescript,typescript,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/032.typescript,typescript,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/033.typescript,typescript,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/034.typescript,typescript,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/035.typescript,typescript,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
secure/036.typescript,typescript,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/037.typescript,typescript,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/038.typescript,typescript,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/039.typescript,typescript,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/040.typescript,typescript,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
vulnerable/041.java,java,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/042.java,java,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/043.java,java,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/044.java,java,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/045.java,java,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
secure/046.java,java,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/047.java,java,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/048.java,java,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/049.java,java,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/050.java,java,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
vulnerable/051.csharp,csharp,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/052.csharp,csharp,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/053.csharp,csharp,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/054.csharp,csharp,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/055.csharp,csharp,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
secure/056.csharp,csharp,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/057.csharp,csharp,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/058.csharp,csharp,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/059.csharp,csharp,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/060.csharp,csharp,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
vulnerable/061.go,go,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/062.go,go,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/063.go,go,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/064.go,go,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/065.go,go,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
secure/066.go,go,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/067.go,go,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/068.go,go,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/069.go,go,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/070.go,go,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
vulnerable/071.ruby,ruby,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/072.ruby,ruby,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/073.ruby,ruby,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/074.ruby,ruby,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/075.ruby,ruby,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
secure/076.ruby,ruby,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/077.ruby,ruby,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/078.ruby,ruby,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/079.ruby,ruby,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/080.ruby,ruby,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
vulnerable/081.kotlin,kotlin,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/082.kotlin,kotlin,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/083.kotlin,kotlin,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/084.kotlin,kotlin,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/085.kotlin,kotlin,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
secure/086.kotlin,kotlin,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/087.kotlin,kotlin,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/088.kotlin,kotlin,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/089.kotlin,kotlin,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/090.kotlin,kotlin,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
vulnerable/091.swift,swift,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/092.swift,swift,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/093.swift,swift,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/094.swift,swift,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
vulnerable/095.swift,swift,vulnerable,"Accepts uploaded files without validating type/extension or uses user-controlled filename, allowing dangerous file types or path issues.",ChatGPT
secure/096.swift,swift,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/097.swift,swift,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/098.swift,swift,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/099.swift,swift,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
secure/100.swift,swift,secure,Validates extension or MIME type and generates a safe filename before saving; reduces risk of dangerous uploads.,ChatGPT
